Ranking,Country,Continent,Population (2021),Yearly Change %,Net Change,Density (Population/km2),Land Area (km2),Migrants (net),Fertility Rate,Median Age,Urban Population %
103,Sierra Leone,Africa,7976983,2.10,163768,111,72180,-4200,4.3,19,43
104,Hong Kong,Asia,7496981,0.82,60827,7140,1050,29308,1.3,45,NaN
105,Laos,Asia,7275560,1.48,106105,32,230800,-14704,2.7,24,36
106,Paraguay,South America,7132538,1.25,87902,18,397300,-16556,2.4,26,62
107,Bulgaria,Europe,6948445,-0.74,-51674,64,108560,-4800,1.6,45,76
108,Libya,Africa,6871292,1.38,93840,4,1759540,-1999,2.3,29,78
109,Lebanon,Asia,6825445,-0.44,-30268,667,10230,-30012,2.1,30,78
110,Nicaragua,North America,6624554,1.21,79052,55,120340,-21272,2.4,26,57
111,Kyrgyzstan,Asia,6524195,1.69,108345,34,191800,-4000,3.0,26,36
112,El Salvador,North America,6486205,0.51,32652,313,20720,-40539,2.1,28,73
113,Turkmenistan,Asia,6031200,1.50,89111,13,469930,-5000,2.8,27,53
114,Singapore,Asia,5850342,0.79,46005,8358,700,27028,1.2,42,NaN
115,Denmark,Europe,5792202,0.35,20326,137,42430,15200,1.8,42,88
116,Finland,Europe,5540720,0.15,8564,18,303890,14000,1.5,43,86
117,Congo,Africa,5518087,2.56,137579,16,341500,-4000,4.5,19,70
118,Slovakia,Europe,5459642,0.05,2629,114,48088,1485,1.5,41,54
119,Norway,Europe,5421241,0.79,42384,15,365268,28000,1.7,40,83
120,Oman,Asia,5106626,2.65,131640,16,309500,87400,2.9,31,87
121,Palestinian National Authority,Asia,5101414,2.41,119994,847,6020,-10563,3.7,21,80
122,Costa Rica,North America,5094119,0.92,46557,100,51060,4200,1.8,33,80
123,Liberia,Africa,5057681,2.44,120307,53,96320,-5000,4.4,19,53
124,Ireland,Europe,4937786,1.13,55291,72,68890,23604,1.8,38,63
125,Central African Republic,Africa,4829767,1.78,84582,8,622980,-40000,4.8,18,43
126,New Zealand,Oceania,4822233,0.82,39170,18,263310,14881,1.9,38,87
127,Mauritania,Africa,4649658,2.74,123962,5,1030700,5000,4.6,20,57
128,Panama,North America,4314767,1.61,68328,58,74340,11200,2.5,30,68
129,Kuwait,Asia,4270571,1.51,63488,240,17820,39520,2.1,37,NaN
130,Croatia,Europe,4105267,-0.61,-25037,73,55960,-8001,1.4,44,58
131,Moldova,Europe,4033963,-0.23,-9300,123,32850,-1387,1.3,38,43
132,Georgia,Asia,3989167,-0.19,-7598,57,69490,-10000,2.1,38,58
133,Eritrea,Africa,3546421,1.41,49304,35,101000,-39858,4.1,19,63
134,Uruguay,South America,3473730,0.35,11996,20,175020,-3000,2.0,36,96
135,Bosnia and Herzegovina,Europe,3280819,-0.61,-20181,64,51000,-21585,1.3,43,52
136,Mongolia,Asia,3278290,1.65,53123,2,1553560,-852,2.9,28,67
137,Armenia,Asia,2963243,0.19,5512,104,28470,-4998,1.8,35,63
138,Jamaica,North America,2961167,0.44,12888,273,10830,-11332,2.0,31,55
139,Qatar,Asia,2881053,1.73,48986,248,11610,40000,1.9,32,96
140,Albania,Europe,2877797,-0.11,-3120,105,27400,-14000,1.6,36,63
141,Puerto Rico,North America,2860853,-2.47,-72555,323,8870,-97986,1.2,44,NaN
142,Lithuania,Europe,2722289,-1.35,-37338,43,62674,-32780,1.7,45,71
143,Namibia,Africa,2540905,1.86,46375,3,823290,-4806,3.4,22,55
144,Gambia,Africa,2416668,2.94,68962,239,10120,-3087,5.3,18,59
145,Botswana,Africa,2351627,2.08,47930,4,566730,3000,2.9,24,73
146,Gabon,Africa,2225734,2.45,53155,9,257670,3260,4.0,23,87
147,Lesotho,Africa,2142249,0.80,16981,71,30360,-10047,3.2,24,31
148,Republic of North Macedonia,Europe,2083374,0.00,-85,83,25220,-1000,1.5,39,59
